Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
trainit_suite,Chrome 73.0.3683.86,,2019-04-09 12:41:00,2019-04-09 12:41:31,31.437s,PASSED
,,,,,,
Test Cases/training/FirstTestCase,Chrome 73.0.3683.86,,2019-04-09 12:41:00,2019-04-09 12:41:16,15.555s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 12:41:01,2019-04-09 12:41:07,5.686s,PASSED
"navigateToUrl(""https://www.onliner.by/"")",Chrome 73.0.3683.86,,2019-04-09 12:41:07,2019-04-09 12:41:10,3.118s,PASSED
"click(findTestObject(""Object Repository/onliner_mobile/Page_Onliner/mobile_catalog_btn""))",Chrome 73.0.3683.86,,2019-04-09 12:41:10,2019-04-09 12:41:15,4.738s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/onliner_mobile/Page_/mobile_catalog_title""))",Chrome 73.0.3683.86,,2019-04-09 12:41:15,2019-04-09 12:41:15,0.106s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 12:41:15,2019-04-09 12:41:16,1.048s,PASSED
,,,,,,
Test Cases/training/Open Car Catalog page,Chrome 73.0.3683.86,,2019-04-09 12:41:16,2019-04-09 12:41:31,15.311s,PASSED
"openBrowser(""https://www.onliner.by/"")",Chrome 73.0.3683.86,,2019-04-09 12:41:16,2019-04-09 12:41:22,5.697s,PASSED
maximizeWindow(),Chrome 73.0.3683.86,,2019-04-09 12:41:22,2019-04-09 12:41:23,1.174s,PASSED
"waitForElementVisible(findTestObject(""Page_Onliner/img__onliner_logo""), 3)",Chrome 73.0.3683.86,,2019-04-09 12:41:23,2019-04-09 12:41:24,0.757s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/script_mode/Page_Onliner/span_""), 3)",Chrome 73.0.3683.86,,2019-04-09 12:41:24,2019-04-09 12:41:24,0.208s,PASSED
"click(findTestObject(""Object Repository/script_mode/Page_Onliner/span_""))",Chrome 73.0.3683.86,,2019-04-09 12:41:24,2019-04-09 12:41:29,4.909s,PASSED
waitForPageLoad(5),Chrome 73.0.3683.86,,2019-04-09 12:41:29,2019-04-09 12:41:29,0.147s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/script_mode/Page_        -/h1_""), 5)",Chrome 73.0.3683.86,,2019-04-09 12:41:29,2019-04-09 12:41:29,0.092s,PASSED
"selectOptionByValue(findTestObject(""script_mode/Page_/select_""), ""5"", false)",Chrome 73.0.3683.86,,2019-04-09 12:41:29,2019-04-09 12:41:30,0.389s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/script_mode/Page_        -/h1_""), 5)",Chrome 73.0.3683.86,,2019-04-09 12:41:30,2019-04-09 12:41:30,0.036s,PASSED
waitForPageLoad(5),Chrome 73.0.3683.86,,2019-04-09 12:41:30,2019-04-09 12:41:30,0.024s,PASSED
"carCatalogTitle = getText(findTestObject(""Object Repository/script_mode/Page_        -/h1_""))",Chrome 73.0.3683.86,,2019-04-09 12:41:30,2019-04-09 12:41:30,0.466s,PASSED
"verifyEqual(carCatalogTitle, ""BMW"")",Chrome 73.0.3683.86,,2019-04-09 12:41:30,2019-04-09 12:41:30,0.040s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 12:41:30,2019-04-09 12:41:31,1.077s,PASSED
