Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Page Titles,Chrome 72.0.3626.119,,2019-03-04 15:05:36,2019-03-04 15:06:43,1m - 7.292s,FAILED
,,,,,,
Test Cases/Open Car Catalog page,Chrome 72.0.3626.119,,2019-03-04 15:05:36,2019-03-04 15:05:49,12.755s,FAILED
"openBrowser(""https://www.onliner.by/"")",Chrome 72.0.3626.119,,2019-03-04 15:05:37,2019-03-04 15:05:43,6.152s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-04 15:05:43,2019-03-04 15:05:44,1.185s,PASSED
"waitForElementVisible(findTestObject(""Page_Onliner/img__onliner_logo""), 3)",Chrome 72.0.3626.119,,2019-03-04 15:05:44,2019-03-04 15:05:44,0.192s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/script_mode/Page_Onliner/span_""), 3)",Chrome 72.0.3626.119,,2019-03-04 15:05:44,2019-03-04 15:05:44,0.063s,PASSED
"click(findTestObject(""Object Repository/script_mode/Page_Onliner/span_""))",Chrome 72.0.3626.119,,2019-03-04 15:05:44,2019-03-04 15:05:49,4.227s,PASSED
waitForPageLoad(5),Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.056s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/script_mode/Page_        -/h1_""), 5)",Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.062s,PASSED
"selectOptionByValue(findTestObject(""script_mode/Page_/select_""), ""5"", false)",Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.267s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/script_mode/Page_        -/h1_""), 5)",Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.028s,PASSED
waitForPageLoad(5),Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.014s,PASSED
"carCatalogTitle = getText(findTestObject(""Object Repository/script_mode/Page_        -/h1_""))",Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.064s,PASSED
"verifyEqual(carCatalogTitle, ""BMW"")",Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:05:49,0.043s,FAILED
,,,,,,
Test Cases/Verify Mobile Phones Catalog title,Chrome 72.0.3626.119,,2019-03-04 15:05:49,2019-03-04 15:06:37,47.478s,FAILED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-04 15:05:50,2019-03-04 15:05:53,3.620s,PASSED
"navigateToUrl(""https://www.onliner.by/"")",Chrome 72.0.3626.119,,2019-03-04 15:05:53,2019-03-04 15:05:56,2.550s,PASSED
"waitForElementVisible(findTestObject(""Page_Onliner/img__onliner_logo""), 0)",Chrome 72.0.3626.119,,2019-03-04 15:05:56,2019-03-04 15:05:56,0.080s,PASSED
"click(findTestObject(""Object Repository/Page_Onliner/span_""))",Chrome 72.0.3626.119,,2019-03-04 15:05:56,2019-03-04 15:05:59,3.696s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_/h1_""), 3)",Chrome 72.0.3626.119,,2019-03-04 15:05:59,2019-03-04 15:06:03,3.271s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_/h1_""), ""Мобильные телефоны"")",Chrome 72.0.3626.119,,2019-03-04 15:06:03,2019-03-04 15:06:37,33.916s,FAILED
,,,,,,
Test Cases/Verify Onlner Page logo is present,Chrome 72.0.3626.119,,2019-03-04 15:06:37,2019-03-04 15:06:43,6.749s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-04 15:06:37,2019-03-04 15:06:40,3.496s,PASSED
"navigateToUrl(""https://www.onliner.by/"")",Chrome 72.0.3626.119,,2019-03-04 15:06:40,2019-03-04 15:06:42,1.987s,PASSED
"waitForElementVisible(findTestObject(""Page_Onliner/img__onliner_logo""), 3)",Chrome 72.0.3626.119,"Onliner page logo
",2019-03-04 15:06:42,2019-03-04 15:06:42,0.079s,PASSED
closeBrowser(),Chrome 72.0.3626.119,,2019-03-04 15:06:42,2019-03-04 15:06:43,0.978s,PASSED
